"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1,AE2","2","WE-MCA_7488910915","","","","Library:WE-MCA_7488910915",""
"C1,C2,C3,C6,C7","5","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4,C5,C8","3","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C9","1","10n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C10,C11","2","1u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D2","2","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"FB1","1","120R","","","","Ferrite_THT:LairdTech_28C0236-0JW-10","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_6mm","~"
"J1","1","SIM2","","","","Library:TE_2452808-1","~"
"J2","1","~","","","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~"
"J3,J4","2","~","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","CORTEX SWD","","Excluded from BOM","","Library:ARM-JTAG-10-SWD-IDC","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf"
"J6","1","USB_B_Micro","","","","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"R1,R2","2","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3,R4,R5","3","22","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","1","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R7","1","1k5","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","~"
"SW2","1","SW_DPST_x2","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm","~"
"U1","1","SIM808","","","","Library:XCVR_SIM808","https://www.snapeda.com/parts/SIM808/SIMCom/view-part/?ref=snap"
"U2","1","STM32F103C8Tx","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U3","1","SSD1306","","","","Library:MODULE_DM-OLED096-636",""
"U4","1","LM1117DT-3.3","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
